OID,STATEFP,COUNTYFP,COUSUBFP,GNISNAME,SHORTNAME,COUNTY,TOWNGEOID,RPC,GEOID
-1,50,9,76337,Warner's Grant,Warner's Grant,Essex,5000976337,NV,06000US5000976337
-1,50,1,325,Town of Addison,Addison,Addison,5000100325,AC,06000US5000100325
-1,50,19,475,Town of Albany,Albany,Orleans,5001900475,NV,06000US5001900475
-1,50,13,860,Town of Alburgh,Alburgh,Grand Isle,5001300860,NW,06000US5001300860
-1,50,27,1300,Town of Andover,Andover,Windsor,5002701300,SW,06000US5002701300
-1,50,3,1450,Town of Arlington,Arlington,Bennington,5000301450,BC,06000US5000301450
-1,50,25,1900,Town of Athens,Athens,Windham,5002501900,WR,06000US5002501900
-1,50,9,2125,Town of Averill,Averill,Essex,5000902125,NV,06000US5000902125
-1,50,9,2162,Avery's Gore,Avery's Gore,Essex,5000902162,NV,06000US5000902162
-1,50,11,2500,Town of Bakersfield,Bakersfield,Franklin,5001102500,NW,06000US5001102500
-1,50,27,2575,Town of Baltimore,Baltimore,Windsor,5002702575,SW,06000US5002702575
-1,50,27,2725,Town of Barnard,Barnard,Windsor,5002702725,TR,06000US5002702725
-1,50,5,2875,Town of Barnet,Barnet,Caledonia,5000502875,NV,06000US5000502875
-1,50,23,3175,City of Barre,Barre City,Washington,5002303175,CV,06000US5002303175
-1,50,23,3250,Town of Barre,Barre Town,Washington,5002303250,CV,06000US5002303250
-1,50,19,3550,Town of Barton,Barton,Orleans,5001903550,NV,06000US5001903550
-1,50,15,4375,Town of Belvidere,Belvidere,Lamoille,5001504375,LC,06000US5001504375
-1,50,3,4825,Town of Bennington,Bennington,Bennington,5000304825,BC,06000US5000304825
-1,50,21,5200,Town of Benson,Benson,Rutland,5002105200,RR,06000US5002105200
-1,50,11,5425,Town of Berkshire,Berkshire,Franklin,5001105425,NW,06000US5001105425
-1,50,23,5650,Town of Berlin,Berlin,Washington,5002305650,CV,06000US5002305650
-1,50,27,5800,Town of Bethel,Bethel,Windsor,5002705800,TR,06000US5002705800
-1,50,9,6325,Town of Bloomfield,Bloomfield,Essex,5000906325,NV,06000US5000906325
-1,50,7,6550,Town of Bolton,Bolton,Chittenden,5000706550,CC,06000US5000706550
-1,50,17,7375,Town of Bradford,Bradford,Orange,5001707375,TR,06000US5001707375
-1,50,17,7600,Town of Braintree,Braintree,Orange,5001707600,TR,06000US5001707600
-1,50,21,7750,Town of Brandon,Brandon,Rutland,5002107750,RR,06000US5002107750
-1,50,25,7900,Town of Brattleboro,Brattleboro,Windham,5002507900,WR,06000US5002507900
-1,50,27,8275,Town of Bridgewater,Bridgewater,Windsor,5002708275,TR,06000US5002708275
-1,50,1,8575,Town of Bridport,Bridport,Addison,5000108575,AC,06000US5000108575
-1,50,9,8725,Town of Brighton,Brighton,Essex,5000908725,NV,06000US5000908725
-1,50,1,9025,Town of Bristol,Bristol,Addison,5000109025,AC,06000US5000109025
-1,50,17,9325,Town of Brookfield,Brookfield,Orange,5001709325,TR,06000US5001709325
-1,50,25,9475,Town of Brookline,Brookline,Windham,5002509475,WR,06000US5002509475
-1,50,19,9850,Town of Brownington,Brownington,Orleans,5001909850,NV,06000US5001909850
-1,50,9,10075,Town of Brunswick,Brunswick,Essex,5000910075,NV,06000US5000910075
-1,50,7,10300,Buels Gore,Buels Gore,Chittenden,5000710300,CC,06000US5000710300
-1,50,5,10450,Town of Burke,Burke,Caledonia,5000510450,NV,06000US5000510450
-1,50,7,10675,City of Burlington,Burlington,Chittenden,5000710675,CC,06000US5000710675
-1,50,23,11125,Town of Cabot,Cabot,Washington,5002311125,CV,06000US5002311125
-1,50,23,11350,Town of Calais,Calais,Washington,5002311350,CV,06000US5002311350
-1,50,15,11500,Town of Cambridge,Cambridge,Lamoille,5001511500,LC,06000US5001511500
-1,50,9,11800,Town of Canaan,Canaan,Essex,5000911800,NV,06000US5000911800
-1,50,21,11950,Town of Castleton,Castleton,Rutland,5002111950,RR,06000US5002111950
-1,50,27,12250,Town of Cavendish,Cavendish,Windsor,5002712250,SW,06000US5002712250
-1,50,19,13150,Town of Charleston,Charleston,Orleans,5001913150,NV,06000US5001913150
-1,50,7,13300,Town of Charlotte,Charlotte,Chittenden,5000713300,CC,06000US5000713300
-1,50,17,13525,Town of Chelsea,Chelsea,Orange,5001713525,TR,06000US5001713525
-1,50,27,13675,Town of Chester,Chester,Windsor,5002713675,SW,06000US5002713675
-1,50,21,14350,Town of Chittenden,Chittenden,Rutland,5002114350,RR,06000US5002114350
-1,50,21,14500,Town of Clarendon,Clarendon,Rutland,5002114500,RR,06000US5002114500
-1,50,7,14875,Town of Colchester,Colchester,Chittenden,5000714875,CC,06000US5000714875
-1,50,9,15250,Town of Concord,Concord,Essex,5000915250,NV,06000US5000915250
-1,50,17,15700,Town of Corinth,Corinth,Orange,5001715700,TR,06000US5001715700
-1,50,1,16000,Town of Cornwall,Cornwall,Addison,5000116000,AC,06000US5000116000
-1,50,19,16150,Town of Coventry,Coventry,Orleans,5001916150,NV,06000US5001916150
-1,50,19,16300,Town of Craftsbury,Craftsbury,Orleans,5001916300,NV,06000US5001916300
-1,50,21,16825,Town of Danby,Danby,Rutland,5002116825,RR,06000US5002116825
-1,50,5,17125,Town of Danville,Danville,Caledonia,5000517125,NV,06000US5000517125
-1,50,19,17350,Town of Derby,Derby,Orleans,5001917350,NV,06000US5001917350
-1,50,3,17725,Town of Dorset,Dorset,Bennington,5000317725,BC,06000US5000317725
-1,50,25,17875,Town of Dover,Dover,Windham,5002517875,WR,06000US5002517875
-1,50,25,18325,Town of Dummerston,Dummerston,Windham,5002518325,WR,06000US5002518325
-1,50,23,18550,Town of Duxbury,Duxbury,Washington,5002318550,CV,06000US5002318550
-1,50,9,21250,Town of East Haven,East Haven,Essex,5000921250,NV,06000US5000921250
-1,50,23,21925,Town of East Montpelier,East Montpelier,Washington,5002321925,CV,06000US5002321925
-1,50,15,23500,Town of Eden,Eden,Lamoille,5001523500,LC,06000US5001523500
-1,50,15,23725,Town of Elmore,Elmore,Lamoille,5001523725,LC,06000US5001523725
-1,50,11,24050,Town of Enosburgh,Enosburgh,Franklin,5001124050,NW,06000US5001124050
-1,50,7,24175,Town of Essex,Essex,Chittenden,5000724175,CC,06000US5000724175
-1,50,11,24925,Town of Fairfax,Fairfax,Franklin,5001124925,NW,06000US5001124925
